חדר,אינדקס,מקור,תרגום,הערות
19,1,The soft grass soothes your aching feet.,הדשא הרך מרגיע את כפות הרגליים הכואבות שלך.,
19,2,A beautiful stream ripples through these stately trees.,נחל יפהפה מתפתל בין העצים המרשימים הללו.,
19,3,"There seems to be a cave in a hill to the north, but you are too far away to see it clearly.","נראה שיש מערה בגבעה מצפון, אבל אתה רחוק מדי מכדי לראות אותה בבירור.",
20,1,The sandy beach is bordered by grass. A stream cuts through the grass and sand to complete its journey to the sea.,החוף החולי גובל בדשא. נחל חוצה את הדשא והחול כדי להשלים את מסעו אל הים.,
20,2,There is water everywhere around here.,יש מים בכל מקום מסביב.,
20,3,The water in this inter-tidal zone is very brackish. It's not suitable for much of anything.,המים באזור הגאות-והשפל הזה נורא מלוחים. הם לא מתאימים לשום דבר.,
21,1,Ok.,אוקי.,
21,2,You notice an unusual little cactus beside that large rock.,אתה מבחין בקקטוס קטן ויוצא דופן ליד הסלע הגדול הזה.,
21,3,You are not close enough.,אתה לא קרוב מספיק.,
21,4,"If you've seen one rock, you've seen them all.","אם ראית סלע אחד, ראית את כולם.",
21,5,You don't have the cactus.,אין לך את הקקטוס.,
22,1,"The beautiful trees of the forest to the east grow sparse as they reach the edge of the great desert to the west. You do notice one particularly large oak tree. ""What a fine oak,"" you think.","העצים היפים של היער ממזרח מתמעטים כשהם מגיעים לקצה המדבר הגדול ממערב. אתה מבחין בעץ אלון אחד גדול במיוחד. ""איזה אלון משובח,"" אתה חושב.",
22,2,"You look up into the towering oak tree. You can only see large, spreading branches and thick leaves. Looking down, you see a small hole between the tree's large roots.","אתה מסתכל למעלה אל עץ האלון המתנשא. אתה רואה רק ענפים גדולים ומתפשטים ועלים עבים. במבט מטה, אתה מבחין בחור קטן בין שורשיו הגדולים של העץ.",
22,3,"You try to climb the huge oak tree, but cannot find a good hand hold. You slip back, and all you gain for your efforts are splinters.","אתה מנסה לטפס על עץ האלון הענק, אבל לא מוצא אחיזה טובה. אתה מחליק אחורה, וכל מה שאתה מרוויח עבור המאמצים שלך הם שבבים של עץ.",
22,4,You lie down on the ground and look into the small hole. It is too dark inside to see anything.,אתה נשכב על הקרקע ומסתכל אל תוך החור הקטן. חשוך מדי בפנים כדי לראות משהו.,
22,5,"%m6You feel around inside the hollow tree and discover a rope, stretching up into the tree. You pull it and (to your amazement) a rope ladder falls from the branches above.",%m6אתה ממשש בתוך העץ החלול ומגלה חבל שנמתח אל תוך העץ. אתה מושך בו ו(לתדהמתך) סולם חבלים נופל מהענפים שמעל.,
22,6,You lie down on the ground and reach into the small hole. ,אתה נשכב על הקרקע ומושיט יד לתוך החור הקטן.,
22,7,"%m6You feel around for the rope, but when you pull it, nothing happens. The ladder stays in place.","%m6אתה מרגיש בחבל, אבל כשאתה מושך בו, שום דבר לא קורה. הסולם נשאר במקומו.",
22,8,The rope ladder stretches up into the branches.,סולם החבלים נמתח מעלה אל הענפים.,
22,9,The ladder is attached to the oak tree. You cannot remove it.,הסולם מחובר לעץ האלון. אתה לא יכול להסיר אותו.,
22,10,"There's nothing of interest here, just some acorns scattered around this old oak tree.","אין כאן שום דבר מעניין, רק כמה בלוטים מפוזרים סביב עץ האלון הישן הזה.",
22,11,"The acorns surround the old oak tree, and crunch under your step.","הבלוטים מקיפים את עץ האלון הישן, ונמעכים בצעדיך.",
22,12,"You pick and poke among the fallen acorns, looking for dried ones. You eventually find three dried acorns, and take them with you.","אתה מלקט ובודק בלוטים שנפלו, בחיפוש אחר מיובשים. בסופו של דבר אתה מוצא שלושה בלוטים מיובשים ולוקח אותם איתך.",
22,13,You pick and poke among the fallen acorns looking for dried ones. You don't find any; these are all newly fallen.,"אתה מלקט ובודק בלוטים שנפלו, בחיפוש אחר מיובשים. אתה לא מוצא; כל אלה נפלו לאחרונה.",
22,14,There are no climbable trees nearby.,אין עצים שניתן לטפס עליהם בקרבת מקום.,
22,15,What ladder?,איזה סולם?,
22,16,You need to be closer.,תצטרך להתקרב.,
22,17,"In your insect form, you fit easily through the hole in the tree.","בצורתך כחרק, אתה נכנס בקלות דרך החור שבעץ.",
22,18,You are much too big to fit into that small hole.,אתה גדול מדי מכדי להיכנס לחור הקטן הזה.,
22,19,"The flowers are pretty, but otherwise uninteresting to you.","הפרחים יפים, אבל חוץ מזה לא מעניינים אותך.",
23,1,The soft grass soothes your aching feet.,הדשא הרך מרגיע את כפות הרגליים הכואבות שלך.,
23,2,The many beautiful trees bring a sense of peace to this forest.,העצים היפים הרבים מביאים תחושת שלווה ליער הזה.,
23,3,"A lone mountain rises sharply from the forest floor, its jagged peak encircled by dark clouds. A treacherous path winds its way up the steep mountainside. You, and the wizard Manannan, live at the top of the peak.","הר בודד מתנשא בחדות מקרקעית היער, פסגתו המשוננת מוקפת בעננים כהים. שביל בוגדני מתפתל במעלה צלע ההר התלול. אתה, והמכשף מננן, חיים בראש הפסגה.",
23,4,"The dangerous, winding path leads up the side of the dark mountain.",השביל המסוכן והמפותל מוביל למעלה צלע ההר האפל.,
23,5,You need to be closer to the mountain for that.,תצטרך להיות קרוב יותר להר לשם כך.,
24,1,"You have entered a quaint, seaside town. Smoke curls lazily from the houses and shops overlooking the ocean. A pier stretches out into the bay. Near the pier, you notice a store and a tavern.","נכנסת לעיירת חוף מוזרה. עשן מתפתל בעצלתיים מהבתים והחנויות המשקיפים על האוקיינוס. מזח משתרע אל תוך המפרץ. ליד המזח, אתה מבחין בחנות ובבית ובמסבאה.",
24,2,The store is on the south side of the pier.,החנות נמצאת בצד הדרומי של המזח.,
24,3,The tavern is on the north side of the pier.,המסבאה נמצאת בצד הצפוני של המזח.,
24,4,%m5 There is a ship tied to the dock.,%m5 יש ספינה הקשורה לרציף.,
24,5,"The pier is made of rough, but sturdy, timbers, and stretches out into the bay.",המזח עשוי מעץ מחוספס אך יציב ומשתרע אל תוך המפרץ.,
24,6,"Waves lap gently against the pilings. But, there is nothing else interesting down there.","גלים מכים בעדינות על עמודי המזח. אבל, אין שום דבר אחר מעניין שם למטה.",
24,7,"The old, rusted anchor is much too heavy to move.",העוגן הישן והחלוד כבד מכדי להזיז אותו.,
24,8,"You peer into the window, but cannot make out any details of the dim interior.","אתה מציץ לתוך החלון, אך לא יכול לזהות שום פרט מהאפלה שבפנים.",
24,9,"If you want to enter, why not try the door?","אם אתה רוצה להיכנס, למה שלא תנסה את הדלת?",
24,10,Ouch!,אווץ'!,
24,11,The door is already open.,הדלת כבר פתוחה.,
24,12,You are not close enough.,אתה לא קרוב מספיק.,
24,13,"You don't have to knock, just open the door and go in.","אתה לא צריך לדפוק, פשוט פתח את הדלת ותיכנס.",
24,14,It's just a door; it opens and closes.,זו רק דלת; היא נפתחת ונסגרת.,
24,15,Wouldn't it help to be near a window?,לא יעזור אולי להיות ליד החלון?,
24,16,The soft grass of the forest has been replaced by the coarse grass of the seashore.,הדשא הרך של היער הוחלף בדשא הגס של שפת הים.,
24,17,The door is already closed.,הדלת כבר סגורה.,
24,18,"The trees are not as large, being so near the coast.","העצים לא ממש גדולים, מכיוון שהם כל כך קרובים לחוף.",
25,1,A large ship is tied to the dock.,ספינה גדולה קשורה לרציף.,
25,2,What ship?,איזו ספינה?,
25,3,There does not seem to be any way to do that.,לא נראה שיש דרך לעשות זאת.,
25,4,A charming village sits atop a bluff overlooking the ocean.,כפר מקסים יושב על פסגת צוק המשקיף על האוקיינוס.,
25,5,A weathered dock leads into the ocean.,רציף בלוי מוביל אל האוקיינוס.,
25,6,"With a sinking feeling, you notice that the large ship is no longer tied to the pier. It looks like you missed the boat!","בתחושה שוקעת, אתה מבחין שהספינה הגדולה כבר לא קשורה למזח. נראה שפספסת את הסירה!",
28,1,There are lovely flowers growing in this well-tended garden. Their sweet scent and beautiful colors delight you.,פרחים מקסימים צומחים בגינה המטופחת הזו. הריח המתוק והצבעים היפים שלהם משמחים אותך.,
28,2,"%m1 To your surprise, you see a bear, wearing a dress, working in the garden. It must be Mama Bear!","%m1 להפתעתך, אתה רואה דובה, לובשת שמלה, העובדת בגינה. זו מוכרחה להיות אמא-דובה!",
28,3,You carefully peek into the pretty flowers of the flower garden. Drops of glistening dew have gathered within their soft petals.,אתה מציץ בזהירות על הפרחים היפים בגינת הפרחים. טיפות של טל נוצץ נאספו בתוך עלי הכותרת הרכים שלהם.,
28,4,This is the comfortable home of the Three Bears. A well-tended flower garden grows out front.,זהו ביתם הנוח של שלושת הדובים. גינת פרחים מטופחת צומחת בחזית.,
28,5,"You peer through the window, but the inside is dimly lit and you cannot make out any details.","אתה מציץ דרך החלון, אך החלק הפנימי מואר במעומעם ואי אפשר לזהות שום פרט.",
28,6,You need to move closer.,תצטרך להתקרב.,
28,7,The heavy wooden door is closed.,דלת העץ הכבדה סגורה.,
28,8,You see three fully-clothed bears!,אתה רואה שלושה דובים בלבוש מלא!,
28,9,You wouldn't want to spoil the lovely flower bed by picking one!,לא היית רוצה לקלקל את ערוגת הפרחים המקסימה על ידי קטיפת אחד!,
28,10,Mama Bear growls at you as you near the flower bed. Better stay away from it... and HER!,אמא דובה נוהמת לעברך בעודך צועד ליד ערוגת הפרחים. מוטב להתרחק משם... וממנה!,
28,11,"Oh, dear! You have annoyed Mama Bear by trampling her precious flowers.",אוי לא! עצבנת את אמא-דובה בכך שרמסת את הפרחים היקרים שלה.,
28,12,"""AND STAY OUT!!!""","""ותישאר בחוץ!!!""",
28,13,"Holding the silver thimble beneath a dew-filled flower, you gently tip the flower so its dew runs into the thimble. You move from flower to flower, repeating the process until your thimble is brimming with dew.","על ידי החזקת האצבעון הכסוף מתחת לפרח מלא טל, אתה מטה את הפרח בעדינות כך שהטל שלו יזרום לתוך האצבעון. אתה עובר מפרח לפרח, חוזר על התהליך עד שהאצבעון שלך שופע בטל.",
28,14,You must have a thimble in order to get a thimbleful of dew.,תצטרך שיהיה לך קודם אצבעון כדי לקבל אצבעון מלא בטל.,
28,15,Your thimble is already full of dew.,האצבעון כבר מלא בטל.,
28,20,"What's this? Three clothed bears??\n\nYou hear Papa Bear exclaim, ""What a beautiful day for a stroll through the forest.""","מה זה? שלושה דובים בלבוש מלא??\n\nאתה שומע את אבא-דוב צועק, ""איזה יום יפה לטיול ביער.""",
28,21,"There are three fully-clothed bears coming!\n\nYou hear Mama Bear say, ""Thank you, Dear. That was a lovely walk.""","שלושה דובים בלבוש מלא מתקרבים!\n\nאתה שומע את אמא-דובה אומרת, ""תודה, יקירי. זו הייתה הליכה מקסימה.""",
28,22,"Evidently, they don't hear you.","הם לא שומעים אותך, ללא ספק.",
28,23,"""SCRAM!!"" growls Papa Bear. ""We're not interested!""","""תסתלק!!"" נוהם אבא-דוב. ""אנחנו לא מעוניינים!""",
28,24,He doesn't seem happy to see you.,לא נראה שהוא שמח לראות אותך.,
28,25,The cottage is too dimly lit to make out any details.,הבקתה מוארת בצורה עמומה מכדי להבחין בפרטים כלשהם.,
28,26,You see a lone mountain peak in the distance. Dark clouds swirl around its summit.,אתה רואה פסגת הר בודדת מרחוק. עננים כהים מתפתלים סביב פסגתו.,
28,27,The dew is beautiful.,הטל יפהפה.,
28,28,"Your cordial greeting annoys the bear, and she growls back, ""Grrrrrrrrrrrrreetings yourrrrrrrrrrself, young man. Stay out of my garden!""","ברכתך הלבבית מרגיזה את הדובה, והיא נוהמת בחזרה, ""תברררררררררררררך את עצמךךךךךךךךךך, בחור צעיר. תתרחק מהגינה שלי!""",
28,29,"Again, you speak to the bear. ""Grrrrrrrrrrr!"" she growls menacingly. ""We don't take to strangers here. Go away!""","שוב, אתה מדבר אל הדובה. ""אררררררררררר!"" היא נוהמת בצורה מאיימת. ""אנחנו לא אוהבים פה זרים. לך מפה!""",
28,30,"Insistently, you talk to the bear yet again. She ignores you, but you hear a constant low growl from deep within her.","בעקשנות, אתה שוב מדבר אל הדובה. היא מתעלמת ממך, אך אתה שומע נהימה נמוכה ורציפה מעומק בטנה.",
28,31,It is utterly impossible for you to catch a big bear.,זה בלתי אפשרי עבורך לחלוטין לתפוס דוב גדול.,
28,32,How could you hurt a big bear? You couldn't.,איך תוכל לפגוע בדוב גדול? אינך יכול.,
28,33,A strange idea.,רעיון מוזר.,
28,34,You rap lightly on the door of the charming house.,אתה דופק קלות על דלת הבית המקסים.,
28,35,No reply.,אין מענה.,
28,36,"You knock again, louder.","אתה דופק שוב, חזק יותר.",
28,37,"Again, there is no response.","שוב, אין מענה.",
28,38,Perhaps no one is home?,אולי אין אף אחד בבית?,
28,40,Where?,איפה?,
29,1,You see a small seaside village up the coast to the north. Smoke rises lazily from chimneys and mingles with the ocean air.,"אתה רואה כפר קטן על שפת הים, במעלה החוף מצפון. עשן עולה בעצלתיים מהארובות ומתערבב באוויר האוקיינוס.",
29,2,"One of the trees has a light-green colored plant growing upon it. On closer inspection, you see that it's mistletoe.","על אחד העצים צמח צמח בצבע ירוק בהיר. בבדיקה מעמיקה יותר, רואים שזה דבקון.",
29,3,The mistletoe hangs from the branches of the tree. There are a few dried sprigs mingled with the green mistletoe.,הדבקון תלוי מענפי העץ. יש כמה ענפים יבשים שהתמזגו עם הדבקון הירוק.,
29,4,"You search among the hanging mistletoe until you find a sprig that has dried. You break it off, and carry it with you.","אתה מחפש בין הדבקון התלוי עד שאתה מוצא ענף שהתייבש. אתה שובר אותו, ונושא אותו איתך.",
29,5,You are not close enough.,אתה לא קרוב מספיק.,
29,6,"There is a three-masted ship docked at the pier. By her sturdy lines and broad beam, you guess it to be a merchant vessel, trading goods in the town.","יש ספינה תלת-תרנים שעגנה במזח. לפי הקווים החסונים והקורה הרחבה שלה, אתה מנחש שמדובר בספינת סוחר, שסוחר סחורות בעיירה.",
29,7,Where?,איפה?,
29,8,%m9 You see a vessel tied up there now!,%m9 אתה רואה ספינה קשורה שם עכשיו!,
29,9,A pier extends from the village and out into the bay. It is built of heavy timbers to withstand winter storms.,מזח משתרע מהכפר ויצא אל המפרץ. הוא בנוי מעץ כבד כדי לעמוד בפני סופות חורף.,
29,10,You give yourself a big smack. (Is this fun?),אתה נותן לעצמך חבטה גדולה. (זה כיף?),
29,11,"The trees are not as large, being so near the coast.","העצים לא ממש גדולים, מכיוון שהם כל כך קרובים לחוף.",
29,12,"You look out over the vast, blue-gray ocean. You wonder what lands and people reside across it. If only you could know!",אתה משקיף על האוקיינוס הכחול-אפור העצום. אתה תוהה אילו אדמות ואנשים מתגוררים מעבר לו. לו רק יכולת לדעת!,
29,13,"You are standing atop a bluff overlooking the ocean, and see a village to the north. %m14 The trees here are stunted and twisted by strong ocean winds.","אתה עומד על פסגת צוק המשקיף על האוקיינוס, ורואה כפר מצפון. %m14 העצים כאן עכורים ומפותלים בגלל רוחות האוקיינוס החזקות.",
29,14,The soft grass of the forest has been replaced by the coarse grass of the seashore.,הדשא הרך של היער הוחלף בדשא הגס של שפת הים.,
29,15,There is no need to climb this tree.,אין צורך לטפס על העץ הזה.,
29,16,You see seagulls flying overhead.,אתה רואה שחפים עפים למעלה.,
29,17,"You look through the remaining mistletoe, but find none that is dry.","אתה מסתכל על הדבקון שנותר, אבל לא מוצא אחד יבש.",
30,1,There is a ship docked at the pier.,יש ספינה העוגנת במזח.,
30,2,A charming village sits atop a bluff overlooking the ocean.,כפר מקסים יושב על פסגת צוק המשקיף על האוקיינוס.,
30,3,The cliffs are very steep.,הצוקים תלולים מאוד.,
30,4,A weathered dock leads into the ocean.,רציף בלוי מוביל אל האוקיינוס.,
31,1,You see nothing but ocean in every direction.,אתה לא רואה כלום מלבד אוקיינוס מכל כיוון.,
31,2,%m1 You notice a couple of colorful fish swimming nearby.,%m1 אתה מבחין בכמה זוגות דגים צבעוניים ששוחים ליד.,
31,3,Your arms are getting very tired. You had better turn around and head for shore.,הידיים שלך מתעייפות מאוד. מוטב שתסתובב ותיגש לחוף.,
31,4,This ocean is full of colorful fish.,האוקיינוס הזה מלא בדגים צבעוניים.,
31,5,They are too difficult to catch.,קשה מדי לתפוס אותם.,
31,6,They don't understand you.,הם לא מבינים אותך.,
31,7,"The jar of storm brew slips from your fingers as you try to open it. In dismay, you watch it sink out of sight. It is gone forever.","צנצנת חליטת הסערה מחליקה מאצבעותיך כשאתה מנסה לפתוח אותה. באכזבה, אתה צופה בה שוקעת מעיניך. היא נעלמה לנצח.",
31,8,"""See that boy swimming here?"" one colorful fish says to a friend. ""He's really from the Kingdom of Daventry. ""Do you think he's trying to swim back there?""","""רואה את הילד הזה ששוחה כאן?"" אומר דג צבעוני אחד לחברו. ""הוא באמת מממלכת דוונטרי. ""אתה חושב שהוא מנסה לשחות לשם?""",
31,9,"States the second fish, ""No, that's impossible. Daventry's too far! It's way across this ocean, and once there, he'd still have to climb a huge mountain range. He'd never make it this way.""","אומר את הדג השני, ""לא, זה בלתי אפשרי. דוונטרי רחוקה מדי! היא הרבה מעבר לאוקיינוס הזה. ושם, הוא עדיין יצטרך לטפס על רכס הרים ענק. הוא לעולם לא יצליח להגיע לשם מכאן.""",
31,10,"You listen with interest as two fish speak to each other. ""There's that boy from Daventry,"" one states. ""I wonder if he would like to return there?""","אתה מקשיב בעניין כששני דגים מדברים זה עם זה. ""יש את הילד הזה מדוונטרי"", אומר אחד. ""מעניין אם הוא היה רוצה לחזור לשם?""",
31,11,"""I doubt it,"" responds the second fish. ""I hear Daventry's going through some hard times; even worse than Llewdor. No, he wouldn't want to go there.""","""אני בספק"", עונה הדג השני. ""אני שומע שדוונטרי עוברת תקופות קשות; אפילו גרועות מאשר לודור. לא, הוא לא היה רוצה ללכת לשם.""",
31,12,"""How are your smallfry doing in school?"" one frolicking fish asks another.","""איך הולך לדגיגים הקטנים שלך בבית הספר?"" שואל דג פזיז אחד את השני.",
31,13,"Answers the other, ""Not well, I'm afraid. The school's much too crowded. They don't know if they're coming or going!""","עונה השני, ""לא טוב, אני חושש. בית הספר צפוף מדי. הם לא יודעים אם הם באים או הולכים!""",
31,14,"""That boy ought to swim back to shore,"" you overhear one fish say to another. ""I'm afraid he'll drown way out here.""","""הילד הזה צריך לשחות בחזרה לחוף,"" אתה שומע דג אחד אומר לאחר. ""אני חושש שהוא יטבע במרחק שכזה משם.""",
31,15,"""Well, humans are pretty stupid creatures. They're always trying to defy Mother Nature,"" the second fish declares. ""There's nothing you can do about it, anyway.""","""ובכן, בני אדם הם יצורים די טיפשים. הם תמיד מנסים לקרוא אתגר על אם-הטבע"", מצהיר הדג השני. ""אין מה לעשות בקשר לזה, בכל אופן.""",
31,16,You have reached the limits of your strength. You panic and start to struggle hopelessly.,הגעת לגבולות הכוח שלך. אתה נכנס לפאניקה ומתחיל להיאבק ללא תקווה.,
31,17,"""My, that was a tasty little bug.""","""שכה אחיה, זה היה חרק קטן וטעים.""",
31,18,Exit edge = %v176  ,קצה יציאה = %v176,לחפש הקשר במשחק
31,19,"The sky is a clear, cloudless blue.","השמיים כחולים, בהירים ונטולי עננים.",
31,20,"You dip your head under the water, but see nothing. It's too deep, anyway.","אתה טובל את ראשך מתחת למים, אך לא רואה כלום. זה עמוק מדי, בכל מקרה.",
31,21,"Shhhh. If you're quiet, maybe you can hear them.","שששש. אם תיהיה בשקט, אולי תוכל לשמוע אותם.",
31,22,Gosh! You barely made a mouthful for that hungry shark!,אלוהים! בקושי דגדגת לכריש הרעב הזה!,
32,1,You look around and see no familiar landmarks. A tight knot of fear begins to form in your stomach as you realize you don't know how to get out of this desert.,אתה מסתכל סביב ולא רואה נקודות נוף מוכרות. תחושת קשר הדוק של פחד מתחילה להיווצר לך בבטן כשאתה מבין שאתה לא יודע איך לצאת מהמדבר הזה.,
32,2,Drinking the salty ocean water intensifies your thirst.,שתיית מי האוקיינוס המלוחים מעצימה את הצמא שלך.,
32,3,You have no water. Your desperate mind must be playing tricks on you.,אין לך מים. המוח הנואש שלך וודאי מתעתע בך.,
32,4,You are getting very hot and tired. You'd better find your way out of this desert soon.,נהיה לך חם מאוד ואתה מתעייף. מוטב שתמצא את דרכך החוצה מהמדבר הזה בהקדם.,
32,5,"You can't take the relentless sun anymore, and collapse from heat stroke. Miserably, you die in this dreadful desert.","אתה לא יכול לסבול יותר את השמש הקופחת, ומתמוטט ממכת חום. למרבה הצער, אתה מוצא את מותך במדבר הנורא הזה.",
32,6,The mountain to the north seems to float on the horizon.,ההר מצפון נראה צף באופק.,
32,7,The snake scurries around without noticing you.,הנחש ממהר מבלי לשים לב אליך.,
32,8,That is not a wise idea. The snake is probably dangerous.,זה לא רעיון חכם. הנחש וודאי מסוכן.,
32,9,What snake?,איזה נחש?,
32,10,You have entered a great desert.,נכנסת למדבר גדול.,
32,11,You see buzzards circling high above you.,אתה רואה בזים עפים במעגלים גבוה מעליך.,
32,12,The hot ground is parched and dry.,האדמה החמה יבשה ובקועה.,
33,1,"The winding path spirals steeply down the mountainside. It leads from the wizard's house at the top, to the forests of Llewdor below.","השביל המעוקל מתפתל בתלילות במורד צלע ההר. הוא מוביל מבית המכשף בפסגה, אל היערות של לודור למטה.",
33,2,"The sky is darker near the top of the mountain as there are dark, swirling clouds surrounding its summit.","השמיים כהים יותר בסמוך לפסגת ההר, מכיוון שיש עננים כהים המתערבלים ומקיפים את פסגתו.",
33,3,"Dark clouds surround the mountain peak, adding a cold and sinister feeling.","עננים כהים מקיפים את פסגת ההר, ומוסיפים תחושה קרה וזדונית.",
33,4,"The lone mountain, with its steep path, rises from the forests of Llewdor to a cloud-encircled peak.","ההר הבודד, עם השביל התלול שלו, מתנשא מיערות לודור אל פסגה מוקפת עננים.",
33,5,The foliage is very scant on this steep mountainside.,העלוה דלה מאוד על צלע ההר התלול הזה.,
33,6,It is very difficult to see the wizard's house from this viewpoint.,קשה מאוד לראות את ביתו של המכשף מנקודת המבט הזו.,
34,1,Not now!,לא עכשיו!,
34,2,"The lone mountain rises from the forests of Llewdor to this cloud-encircled peak. Here is the somber house of Manannan, where you and he reside.","ההר הבודד מתנשא מיערות לודור אל הפסגה המוקפת עננים הזו. כאן הוא ביתו הקודר של מננן, בו אתה והוא מתגוררים.",
34,3,"The treacherous path is the only route down the mountain. If you are contemplating taking it, you should be very cautious.","השביל הבוגדני הוא הדרך היחידה אל מורד ההר. אם אתה שוקל ללכת עליו, עליך להיות זהיר מאוד.",
34,4,The foliage is very scant on this steep mountainside.,העלוה דלה מאוד על צלע ההר התלול הזה.,
34,5,The sky is dark here due to the swirling clouds surrounding this summit.,השמיים חשוכים כאן בגלל העננים המתערבלים המקיפים את הפסגה.,
34,6,"Dark clouds surround this peak adding a cold, sinister feeling to this lonely mountain.","עננים כהים מקיפים את הפסגה הזו, מוסיפים תחושה קרה וזדונית להר הבודד הזה.",
34,7,The mountain is too steep to climb. Use the path.,ההר תלול מכדי לטפס. השתמש בשביל.,
34,8,The ground is hard and rocky on this lonely mountaintop.,האדמה קשה וסלעית על פסגת ההר הבודד הזה.,
34,9,"This is the gloomy home of Manannan, the evil wizard who is your master.","זהו ביתו הקודר של מננן, המכשף הרשע שהוא האדון שלך.",
34,10,You can't reach it from here.,אתה לא יכול להגיע לזה מכאן.,
34,11,The door of the wizard's house is closed at the moment.,הדלת של בית המכשף סגורה כרגע.,
34,12,Why don't you just open it; you DO live here.,למה שלא פשוט תפתח אותה? אתה בכל זאת גר כאן.,
34,13,Your arms are not long enough to reach it from here.,זרועותיך אינן ארוכות מספיק כדי להגיע לזה מכאן.,
34,14,"A couple of chickens strut about their chicken coop. As all chickens do, they peck, scratch, and cluck. The poor things; they will end up as the old wizard's dinner one day. %m25","כמה תרנגולות מסתובבות בלול התרנגולות שלהן. כמו כל התרנגולות, הן מנקרות, מגרדות ומקרקרות. המסכנות; הן יגמרו כארוחת הערב של המכשף הזקן יום אחד. %m25",
34,15,The gate is closed.,השער סגור.,
34,16,"Shhh.  If you're quiet, perhaps you'll hear them.","ששש. אם תיהיה בשקט, אולי תוכל לשמוע אותם.",
34,17,You cannot reach the chickens.,אתה לא יכול להגיע לתרנגולות.,
34,18,The little varmint scoots out of reach.,השרצים מתרוצצים מחוץ לטווח ידך.,
34,19,"Gotcha! You've managed to catch a chicken. But, what are you going to do with it?","""תפסתי אותך!"" הצלחת לתפוס תרנגולת. אבל, מה אתה הולך לעשות איתה?",
34,20,"The chicken flies out of your grasp, and again struts around the coop.","התרנגולת חומקת מידיך. ושוב, מתרוצצת סביב הלול.",
34,21,You have to catch a chicken first.,תצטרך לתפוס תרנגולת קודם.,
34,22,"Tucking the chicken firmly under one arm, you gently pluck a small feather, then let it go.","אתה מכניס את התרנגולת בחוזקה מתחת לזרוע אחת, תולש בעדינות נוצה קטנה, ואז נותן לה ללכת.",
34,23,"The chicken struggles in your arms, trying to peck you. Apparently, it doesn't enjoy being held.","התרנגולת נאבקת בזרועותיך, מנסה לנקר אותך. ככל הנראה, היא לא נהנית שמחזיקים אותה.",
34,24,You already took a chicken feather.,כבר לקחת נוצת תרנגולת אחת.,
34,25,"There is a bag of chicken feed behind the fence, beside the chicken coop.","יש שק מזון לתרנגולות מאחורי הגדר, ליד הלול.",
34,26,The bag behind the fence is full of chicken feed.,השק מאחורי הגדר מלא באוכל לתרנגולות.,
34,27,You only need the chicken feed if you want to feed the chickens.,אתה צריך רק את האוכל של התרנגולות אם אתה רוצה להאכיל אותן.,
34,28,,,
34,29,What's wrong with the chicken you're holding?,מה לא בסדר עם התרנגולת שאתה מחזיק כרגע?,
34,30,The chickens pay no attention to you.,התרנגולות לא מתייחסות אליך.,
34,31,You never were very good at doing that. You'd really rather not.,מעולם לא היית טוב בזה. עדיף שלא.,
34,32,"Sorry, Colonel; they're not even dead yet!","סליחה, המפקד; הן אפילו לא מתות עדיין!",
34,33,"""The poor boy,"" clucks one of the hens. ""He thinks his name is Gwydion.""","""הילד המסכן,"" מקרקרת אחת התרנגולות. ""הוא חושב שקוראים לו גווידיון.""",
34,34,"""Wouldn't he be surprised to find out he's a prince!"" replies the other hen.","""האם הוא לא יהיה מופתע לגלות שהוא נסיך!"" עונה התרנגולת השנייה.",
34,35,"""Yes,"" cackles the first hen. ""He's really Prince Alexander.""","""כן,"" מקרקרת התרנגולת הראשונה. ""הוא באמת הנסיך אלכסנדר.""",
34,36,"You hear one chicken say to the other, ""I feel so sorry for the boy. The old wizard treats him miserably.""","אתה שומע תרנגולת אחת אומרת לשנייה, ""אני כל כך מרחמת על הילד. המכשף הזקן מתייחס אליו בצורה עלובה.""",
34,37,"""Yes, dear,"" replies the other one, ""but YOU ought to worry about your own neck. Look at the situation WE'RE in.""","""כן, יקירתי,"" עונה השנייה, ""אבל את צריכה לדאוג לגרון של עצמך"". תראי את המצב שאנחנו נמצאות בו.""",
34,38,"""Remember Gertrude,"" one of the chickens reminisces. ""Remember how one day the old wizard came out and got her.""","""זוכרת את גרטרוד"", אחת התרנגולות מעלה זכרונות. ""זוכרת איך יום אחד יצא המכשף הזקן ותפס אותה.""",
34,39,"""Oh, I know,"" clucks the other. ""It was horrible! I hear she ended up in his stew. I can't bear to think about it!"" ","""או, אני זוכרת,"" מקרקרת השנייה. ""זה היה נורא! שמעתי שהיא גמרה אצלו במרק. אני לא יכולה לשאת את המחשבה הזו!""",
34,40,"You overhear one of the hens speaking to the other, ""Whatever happened to your last batch of chicks, my dear?""","אתה שומע את אחת התרנגולות מדברת אל השנייה, ""מה קרה לגוזלים האחרונה שלך, יקירתי?""",
34,41,"Answers the other, ""My poor babies were doing so well! I was just teaching them the proper methods of scratching when that old rascal came out and took them away!""","עונה השנייה, ""התינוקות המסכנים שלי הסתדרו כל כך טוב! בדיוק לימדתי אותם את השיטות הגירוד הנכונות כשהנבל הזקן הזה בא ולקח אותם!""",
34,42,"""Where do you think he took them?"" wondered the first hen.","""לאן את חושבת שהוא לקח אותם?"" תהתה התרנגולת הראשונה.",
